Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_BCC_A2#1,phasefrac_M7C3_D101#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_BCC_A2,phasefrac_base_CEMENTITE_D011,phasefrac_base_M7C3_D101,phasefrac_base_MS_B1,phasefrac_base_CE2S3,phasefrac_base_CE3S4_D73,phasefrac_base_CE2C3_D5C,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.04,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.04,1.0,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9917009325202412,0.007946869693685115,0.0001733061713717776,0.9999999999999999,0.9917009325202412,0.0,0.007946869693685115,0.0001733061713717776,0.0,0.0,0.00017889161470182864,0.9917009325202412,0.7516849524234016,0.7717369066038177,0.3019277373868769,,,0.00017889161470182864,0.0,False
0.04,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.04,1.1,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.991613959013281,0.0080340917650129,0.00017329340014290542,0.9999999999999999,0.991613959013281,0.0,0.0080340917650129,0.00017329340014290542,0.0,0.0,0.00017865582156303129,0.991613959013281,0.8356344781681612,0.7734447393035726,0.30194450126821787,,,0.00017865582156303129,0.0,True
0.04,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.04,1.2,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9915389235995132,0.00810940933503666,0.0001732806307823285,1.0,0.9915389235995132,0.0,0.00810940933503666,0.0001732806307823285,0.0,0.0,0.00017838643466776413,0.9915389235995132,0.9209463357863287,0.7750041474026796,0.3019587754433191,,,0.00017838643466776413,0.0,True
0.04,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.04,1.3,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9914739158985951,0.00817473574070976,0.0001732678632900586,1.0,0.9914739158985951,0.0,0.00817473574070976,0.0001732678632900586,0.0,0.0,0.00017808049740504925,0.9914739158985951,1.0074508977485643,0.7764320502881886,0.3019709674463008,,,0.00017808049740504925,0.0,True
0.04,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.04,1.4,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9914173360995264,0.008231673860805094,0.00017325509766626319,1.0000000000000004,0.9914173360995264,0.0,0.008231673860805094,0.00017325509766626319,0.0,0.0,0.00017773494200264614,0.9914173360995264,1.09500470427347,0.7777436419426624,0.30198141835265696,,,0.00017773494200264614,0.0,True
0.045,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.045,1.0,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9917472842713864,0.007850933391285397,0.00017331135727865173,0.9999999999999997,0.9917472842713864,0.0,0.007850933391285397,0.00017331135727865173,0.0,0.0,0.00022847098004925934,0.9917472842713864,0.7543151761856088,0.7721805846498427,0.30192304321798147,,,0.00022847098004925934,0.0,False
0.045,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.045,1.1,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.991660583544653,0.007937887777077723,0.0001732985852855751,0.9999999999999999,0.991660583544653,0.0,0.007937887777077723,0.0001732985852855751,0.0,0.0,0.00022823009298353887,0.991660583544653,0.8384534026365612,0.773862853763551,0.30193978253909654,,,0.00022823009298353887,0.0,True
0.045,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.045,1.2,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9915858011973887,0.008012957545615896,0.00017328581516088133,1.0,0.9915858011973887,0.0,0.008012957545615896,0.00017328581516088133,0.0,0.0,0.00022795544183449624,0.9915858011973887,0.9239394943062557,0.7753991325858465,0.30195403377702223,,,0.00022795544183449624,0.0,True
0.045,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.045,1.3,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9915210233414202,0.008078059550565677,0.00017327304690460354,1.0,0.9915210233414202,0.0,0.008078059550565677,0.00017327304690460354,0.0,0.0,0.00022764406110945145,0.9915210233414202,1.010605423698415,0.7768060523555737,0.3019662056029493,,,0.00022764406110945145,0.0,True
0.045,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.045,1.4,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9914646496487675,0.008134797196406094,0.00017326028051692507,1.0,0.9914646496487675,0.0,0.008134797196406094,0.00017326028051692507,0.0,0.0,0.00022729287430959,0.9914646496487675,1.0983091473526485,0.77809854484591,0.3019766394956823,,,0.00022729287430959,0.0,True
0.05,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.05,1.0,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9917936430302391,0.007754987168020871,0.00017331654349591753,1.0,0.9917936430302391,0.0,0.007754987168020871,0.00017331654349591753,0.0,0.0,0.00027805325824412357,0.9917936430302391,0.7569560735010851,0.7726230819125633,0.3019183505476608,,,0.00027805325824412357,0.0,False
0.05,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.05,1.1,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9917072158379117,0.007841673123659474,0.00017330377073856336,0.9999999999999999,0.9917072158379117,0.0,0.007841673123659474,0.00017330377073856336,0.0,0.0,0.00027780726769023703,0.9917072158379117,0.8412827062186847,0.7742798267451154,0.30193506507418366,,,0.00027780726769023703,0.0,True
0.05,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.05,1.2,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9916326868683277,0.007916494789746677,0.00017329099984968033,0.9999999999999998,0.9916326868683277,0.0,0.007916494789746677,0.00017329099984968033,0.0,0.0,0.00027752734207577565,0.9916326868683277,0.9269427135140016,0.7757930220388677,0.30194929323832725,,,0.00027752734207577565,0.0,True
